t,bead x,bead y,bead z,focus1,focus2
 244.6218, 0.0031,-0.0026, 0.4930,1.65856897988,1.46933216542
 244.8710, 0.0031,-0.0026, 0.4930,1.65672548715,1.46497173076
 245.1272, 0.0031,-0.0026, 0.4930,1.65208114509,1.46832654538
 245.3558, 0.0031,-0.0026, 0.4930,1.65506646217,1.47036596204
 245.6025, 0.0031,-0.0026, 0.4930,1.64292466257,1.46451428702
 245.8485, 0.0031,-0.0026, 0.4930,1.66371588088,1.46488976535
 245.9918, 0.0031,-0.0026, 0.4930,1.66629781004,1.46617285132
 246.2454, 0.0031,-0.0026, 0.4930,1.65774383959,1.470419464
 246.5202, 0.0031,-0.0031, 0.4930,1.65489061178,1.47162526993
 246.7729, 0.0031,-0.0031, 0.4930,1.66191753739,1.46971677661
 247.0378, 0.0031,-0.0031, 0.4930,1.6631754394,1.46607842569
 247.5009, 0.0031,-0.0031, 0.4930,1.65916515718,1.46984012774
 247.6524, 0.0031,-0.0031, 0.4930,1.66514290725,1.4634060718
 247.9097, 0.0031,-0.0031, 0.4930,1.6503748465,1.46129887071
 248.1616, 0.0031,-0.0031, 0.4930,1.64438613811,1.47211818002
 248.4222, 0.0031,-0.0031, 0.4930,1.65077352371,1.46678922061
 248.6859, 0.0031,-0.0031, 0.4930,1.6657832723,1.46541844636
 248.9460, 0.0031,-0.0031, 0.4930,1.65972014196,1.46427863921
 249.1972, 0.0031,-0.0031, 0.4930,1.65443007132,1.46402437394
 249.4981, 0.0031,-0.0031, 0.4930,1.66767588513,1.46712979394
 249.7026, 0.0031,-0.0031, 0.4930,1.65182133883,1.46565038945
 249.9649, 0.0031,-0.0031, 0.4930,1.65738805589,1.46600757851
 250.2113, 0.0031,-0.0031, 0.4930,1.65454781909,1.4652885978
 250.4727, 0.0031,-0.0031, 0.4930,1.6511125904,1.47065854018
 250.7458, 0.0031,-0.0031, 0.4930,1.65504754787,1.46506243026
 250.9902, 0.0031,-0.0031, 0.4930,1.6614840949,1.47241332673
 251.2914, 0.0031,-0.0031, 0.4930,1.6594684378,1.45862956375
 251.6424, 0.0031,-0.0031, 0.4930,1.65119396323,1.47064726714
 251.8086, 0.0031,-0.0031, 0.4930,1.64430143447,1.46390923315
 252.0515, 0.0031,-0.0036, 0.4930,1.65355799031,1.47052310561
 252.2911, 0.0031,-0.0036, 0.4930,1.65475323705,1.47317999904
 252.5800, 0.0031,-0.0036, 0.4930,1.6588776447,1.46966661234
 252.8229, 0.0031,-0.0036, 0.4930,1.65160678733,1.46902992622
 253.0733, 0.0031,-0.0036, 0.4930,1.65149106543,1.46423866682
 253.3444, 0.0031,-0.0036, 0.4930,1.64572205632,1.47531715006
 253.5710, 0.0031,-0.0036, 0.4930,1.65117952901,1.46725903059
 253.8389, 0.0031,-0.0036, 0.4930,1.65119637149,1.47445794728
 254.1008, 0.0031,-0.0036, 0.4930,1.64939708384,1.47380077632
 254.3591, 0.0031,-0.0036, 0.4930,1.64755361168,1.47199282886
 254.6207, 0.0031,-0.0036, 0.4930,1.65422968787,1.46540798309
 254.8477, 0.0031,-0.0036, 0.4930,1.64170861515,1.47489269422
 255.1465, 0.0031,-0.0036, 0.4930,1.65459809974,1.46574989159
 255.4052, 0.0031,-0.0036, 0.4930,1.64665768072,1.4703144944
 255.6434, 0.0031,-0.0036, 0.4930,1.64216614689,1.46807784593
 255.8782, 0.0031,-0.0036, 0.4930,1.65667097589,1.47189938766
 256.1537, 0.0031,-0.0036, 0.4930,1.65190089914,1.46891030145
 256.3913, 0.0031,-0.0036, 0.4930,1.64603627494,1.46857782782
 256.6615, 0.0031,-0.0036, 0.4930,1.64634977813,1.46314446157
 256.9055, 0.0031,-0.0036, 0.4930,1.64708752162,1.46915486554
 257.1809, 0.0031,-0.0036, 0.4930,1.6559040839,1.46928604615
 257.4261, 0.0031,-0.0036, 0.4930,1.64308176966,1.47167512992
 257.6646, 0.0031,-0.0041, 0.4930,1.65219335351,1.46863217739
 257.7983, 0.0031,-0.0041, 0.4930,1.65431247085,1.46612471549
 258.0737, 0.0031,-0.0041, 0.4930,1.65664971407,1.46998668361
 258.3277, 0.0031,-0.0041, 0.4930,1.65435819974,1.47053416253
 258.5781, 0.0031,-0.0041, 0.4930,1.64438635728,1.46527897543
 258.8730, 0.0031,-0.0041, 0.4930,1.65890663382,1.47075387256
 259.0959, 0.0031,-0.0041, 0.4930,1.6621785098,1.47150723377
 259.3551, 0.0031,-0.0041, 0.4930,1.6503261943,1.46601110725
 259.6080, 0.0031,-0.0041, 0.4930,1.65037051149,1.46835366284
 259.8498, 0.0031,-0.0041, 0.4930,1.65107993523,1.47224658484
 260.1203, 0.0031,-0.0041, 0.4930,1.65274439192,1.46526803464
 260.3667, 0.0031,-0.0041, 0.4930,1.6529568164,1.46916086119
 260.6346, 0.0031,-0.0041, 0.4930,1.6446492102,1.46548871509
 260.8993, 0.0031,-0.0041, 0.4930,1.64843616845,1.47229485289
 261.0272, 0.0031,-0.0041, 0.4930,1.65730831579,1.46370330781
 261.1390, 0.0031,-0.0041, 0.4930,1.64814279602,1.4651768552
 261.4652, 0.0031,-0.0041, 0.4930,1.65134184935,1.46259737079
 261.6505, 0.0031,-0.0041, 0.4930,1.65821505139,1.4659564708
 261.9360, 0.0031,-0.0041, 0.4930,1.65070335443,1.47409698931
 262.1780, 0.0031,-0.0041, 0.4930,1.65523004999,1.46842813236
 262.4330, 0.0031,-0.0041, 0.4930,1.64573675562,1.46372133717
 262.6741, 0.0031,-0.0041, 0.4930,1.64890052521,1.46420801324
 262.8189, 0.0031,-0.0046, 0.4930,1.63776072143,1.46719383935
 263.0867, 0.0031,-0.0046, 0.4930,1.64898636093,1.4597471907
 263.3305, 0.0031,-0.0046, 0.4930,1.64824914695,1.46872632863
 263.5908, 0.0031,-0.0046, 0.4930,1.64573020722,1.46732995823
 263.8970, 0.0031,-0.0046, 0.4930,1.64920211651,1.46362195512
 264.1158, 0.0031,-0.0046, 0.4930,1.6463782777,1.46932168992
 264.3762, 0.0031,-0.0046, 0.4930,1.64788205417,1.47542124317
 264.4789, 0.0031,-0.0046, 0.4930,1.64892495166,1.46944332817
 264.7569, 0.0031,-0.0046, 0.4930,1.64888441067,1.47136414481
 264.9881, 0.0031,-0.0046, 0.4930,1.65448909095,1.47146368941
 265.2511, 0.0031,-0.0046, 0.4930,1.65023110115,1.4728043073
 265.5254, 0.0031,-0.0046, 0.4930,1.64600122587,1.47532598316
 265.7579, 0.0031,-0.0046, 0.4930,1.64910733231,1.46489053126
 266.0328, 0.0031,-0.0046, 0.4930,1.65065786576,1.47021119741
 266.3184, 0.0031,-0.0046, 0.4930,1.63826638565,1.47117680926
 266.5465, 0.0031,-0.0046, 0.4930,1.64823322254,1.4750046767
 266.8034, 0.0031,-0.0046, 0.4930,1.65087583335,1.46445756295
 267.0656, 0.0031,-0.0046, 0.4930,1.65280636088,1.47082253354
 267.2954, 0.0031,-0.0046, 0.4930,1.65623093962,1.47225970414
 267.5689, 0.0031,-0.0046, 0.4930,1.65502603091,1.46019666839
 267.8275, 0.0031,-0.0051, 0.4930,1.64580011594,1.46446115951
 268.0658, 0.0031,-0.0051, 0.4930,1.65052284355,1.47126533205
 268.3263, 0.0031,-0.0051, 0.4930,1.65128795156,1.46837427706
 268.6210, 0.0031,-0.0051, 0.4930,1.64647453695,1.4594744502
 268.8891, 0.0031,-0.0051, 0.4930,1.64812193209,1.47073690439
 269.1055, 0.0031,-0.0051, 0.4930,1.65457448959,1.47499990468
 269.3886, 0.0031,-0.0051, 0.4930,1.65657472833,1.47370983135
 269.6297, 0.0031,-0.0051, 0.4930,1.65116599067,1.46916877882
 269.8773, 0.0031,-0.0051, 0.4930,1.65980316673,1.46620426746
 270.1388, 0.0031,-0.0051, 0.4930,1.65740393632,1.47488382329
 270.3798, 0.0031,-0.0051, 0.4930,1.64586732883,1.46318635472
 270.6508, 0.0031,-0.0051, 0.4930,1.64558342205,1.46694842977
 270.8953, 0.0031,-0.0051, 0.4930,1.64861834676,1.47615341672
 271.1754, 0.0031,-0.0051, 0.4930,1.66160053641,1.46786191659
 271.4596, 0.0031,-0.0051, 0.4930,1.64201821298,1.47070248709
