t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power,focus1,focus2
 687.7136, 0.0625, 0.0111, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100, 0.0000, 0.9500, 0.9500, 0.0000,0,1.31832942221,1.22373268266
 687.7169, 0.0625, 0.0111, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100, 0.0000, 0.9500, 0.9500, 0.0000,0,1.32620137255,1.22767383483
 687.8526, 0.0625, 0.0111, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100, 0.0000, 0.9500, 0.9500, 0.0000,0,1.32041333311,1.23658209136
 687.9619, 0.0625, 0.0111, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.32935201784,1.23615277419
 688.1040, 0.0620, 0.0116, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.31534720277,1.22433045288
 688.2496, 0.0605, 0.0141, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.32279871873,1.23486812662
 688.3553, 0.0610, 0.0141, 0.0194, 0.0060, 0.0336, 0.0194, 0.9717, 0.4697, 6.0907, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.30892321898,1.25054088853
 688.5087, 0.0620, 0.0131, 0.0187, 0.0060, 0.0336, 0.0187, 0.9717, 0.4697, 6.0900, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.29245750892,1.26982174974
 688.6232, 0.0625, 0.0126, 0.0157, 0.0060, 0.0336, 0.0157, 0.9717, 0.4697, 6.0870, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.25812984207,1.27636753386
 688.8846, 0.0635, 0.0111, 0.0108, 0.0060, 0.0336, 0.0108, 0.9717, 0.4697, 6.0799, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.24164932516,1.3000619097
 689.1463, 0.0645, 0.0101, 0.0011, 0.0060, 0.0336, 0.0011, 0.9717, 0.4697, 6.0724, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.23004126136,1.31941517908
 689.4180, 0.0660, 0.0086,-0.0042, 0.0060, 0.0336,-0.0042, 0.9717, 0.4697, 6.0671, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.21488407378,1.31857968692
 689.5112, 0.0665, 0.0076,-0.0089, 0.0060, 0.0336,-0.0089, 0.9717, 0.4697, 6.0624, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.18924353284,1.32690037376
 689.6816, 0.0675, 0.0071,-0.0092, 0.0060, 0.0336,-0.0092, 0.9717, 0.4697, 6.0600, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.1964192061,1.3337421347
 689.7728, 0.0680, 0.0061,-0.0142, 0.0060, 0.0336,-0.0142, 0.9717, 0.4697, 6.0571, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.18662328121,1.33762324297
 689.9504, 0.0690, 0.0056,-0.0163, 0.0060, 0.0336,-0.0163, 0.9717, 0.4697, 6.0521, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.17518539914,1.34935660767
 690.0319, 0.0695, 0.0046,-0.0192, 0.0060, 0.0336,-0.0192, 0.9717, 0.4697, 6.0500, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.1872000507,1.3435762928
 690.2065, 0.0705, 0.0041,-0.0213, 0.0060, 0.0336,-0.0213, 0.9717, 0.4697, 6.0471, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.15953940847,1.35517036681
 690.2874, 0.0710, 0.0031,-0.0263, 0.0060, 0.0336,-0.0263, 0.9717, 0.4697, 6.0421, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.16272544697,1.37189586046
 690.5643, 0.0725, 0.0016,-0.0342, 0.0060, 0.0336,-0.0342, 0.9717, 0.4697, 6.0371, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.13637483931,1.37465654982
 690.8183, 0.0745, 0.0001,-0.0413, 0.0060, 0.0336,-0.0413, 0.9717, 0.4697, 6.0300, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.1315030818,1.39239272638
 691.0763, 0.0760,-0.0019,-0.0488, 0.0060, 0.0336,-0.0488, 0.9717, 0.4697, 6.0222, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.12180312485,1.42563554571
 691.2010, 0.0775,-0.0029,-0.0513, 0.0060, 0.0336,-0.0513, 0.9717, 0.4697, 6.0200, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.10203525613,1.4196941172
 691.3281, 0.0785,-0.0034,-0.0541, 0.0060, 0.0336,-0.0541, 0.9717, 0.4697, 6.0172, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.08918924359,1.42595360326
 691.4553, 0.0790,-0.0044,-0.0588, 0.0060, 0.0336,-0.0588, 0.9717, 0.4697, 6.0122, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.06933468734,1.44545729031
 691.5821, 0.0800,-0.0054,-0.0612, 0.0060, 0.0336,-0.0612, 0.9717, 0.4697, 6.0101, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.07265298556,1.45137219999
 691.7045, 0.0810,-0.0064,-0.0641, 0.0060, 0.0336,-0.0641, 0.9717, 0.4697, 6.0072, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.06019266261,1.45580715969
 691.8438, 0.0820,-0.0069,-0.0688, 0.0060, 0.0336,-0.0688, 0.9717, 0.4697, 6.0022, 5.6100,-0.5000,-0.5000, 0.5000, 0.5000,1,1.04123673903,1.46971939571
 691.9822, 0.0830,-0.0079,-0.0712, 0.0060, 0.0336,-0.0712, 0.9717, 0.4697, 6.0001, 5.6100,-0.4248,-0.4248, 0.4248, 0.4248,1,1.05101181826,1.47929926545
 692.2357, 0.0850,-0.0099,-0.0790, 0.0060, 0.0336,-0.0790, 0.9717, 0.4697, 5.9923, 5.6100, 0.5000, 1.1320, 1.6320, 1.0000,1,1.02665687956,1.51087686973
 692.4577, 0.0795,-0.0084,-0.0840, 0.0060, 0.0336,-0.0840, 0.9717, 0.4697, 5.9873, 5.6100, 0.5000, 1.2920, 1.7920, 1.0000,1,1.05103021511,1.44347411614
 692.7182, 0.0725,-0.0004,-0.0912, 0.0060, 0.0336,-0.0912, 0.9717, 0.4697, 5.9775, 5.6100, 0.5000, 1.1720, 1.6720, 1.0000,1,1.12642399539,1.37648607193
 692.8486, 0.0670, 0.0056,-0.0940, 0.0060, 0.0336,-0.0940, 0.9717, 0.4697, 5.9751, 5.6100, 0.5000, 0.5320, 1.0320, 1.0000,1,1.18879069512,1.32618816994
 692.9727, 0.0635, 0.0091,-0.0987, 0.0060, 0.0336,-0.0987, 0.9717, 0.4697, 5.9723, 5.6100, 0.9480, 0.5000, 1.0000, 1.4480,1,1.20667812095,1.31885184287
 693.1383, 0.0585, 0.0106,-0.1037, 0.0060, 0.0336,-0.1037, 0.9717, 0.4697, 5.9676, 5.6100, 1.2280, 0.5000, 1.0000, 1.7280,1,1.23125379411,1.30731894075
 693.2632, 0.0550, 0.0101,-0.1040, 0.0060, 0.0336,-0.1040, 0.9717, 0.4697, 5.9651, 5.6100, 1.3480, 0.5000, 1.0000, 1.8480,1,1.27401504143,1.28727393055
 693.3873, 0.0510, 0.0081,-0.1090, 0.0060, 0.0336,-0.1090, 0.9717, 0.4697, 5.9623, 5.6100, 1.3080, 0.5000, 1.0000, 1.8080,1,1.3084527321,1.27934716874
 693.5177, 0.0475, 0.0056,-0.1137, 0.0060, 0.0336,-0.1137, 0.9717, 0.4697, 5.9576, 5.6100, 1.1480, 0.5000, 1.0000, 1.6480,1,1.37914753217,1.25023363848
 693.6411, 0.0430, 0.0016,-0.1140, 0.0060, 0.0336,-0.1140, 0.9717, 0.4697, 5.9551, 5.6100, 0.4734,-0.4734,-0.4734, 0.4734,1,1.4370909343,1.22112479361
 693.8977, 0.0405,-0.0069,-0.1143, 0.0060, 0.0336,-0.1143, 0.9717, 0.4697, 5.9570, 5.6100, 0.4798,-0.4798,-0.4798, 0.4798,1,1.54384207295,1.17168689888
 694.1475, 0.0405,-0.0079,-0.1089, 0.0060, 0.0336,-0.1089, 0.9717, 0.4697, 5.9624, 5.6100, 0.4856,-0.4856,-0.4856, 0.4856,1,1.57544979792,1.15570997249
 694.4277, 0.0390,-0.0099,-0.1017, 0.0060, 0.0336,-0.1017, 0.9717, 0.4697, 5.9696, 5.6100, 0.5000, 1.1320, 1.6320, 1.0000,1,1.59736120666,1.16792274755
 694.5410, 0.0320,-0.0089,-0.0992, 0.0060, 0.0336,-0.0992, 0.9717, 0.4697, 5.9724, 5.6100, 0.5000, 1.2920, 1.7920, 1.0000,1,1.52808009007,1.18605584491
 694.6640, 0.0275,-0.0054,-0.0965, 0.0060, 0.0336,-0.0965, 0.9717, 0.4697, 5.9772, 5.6100, 0.5000, 1.2120, 1.7120, 1.0000,1,1.51185656504,1.19666857805
 694.7971, 0.0230,-0.0014,-0.0939, 0.0060, 0.0336,-0.0939, 0.9717, 0.4697, 5.9774, 5.6100, 0.5000, 0.9320, 1.4320, 1.0000,1,1.48792421375,1.23286999745
 694.9260, 0.0185, 0.0026,-0.0890, 0.0060, 0.0336,-0.0890, 0.9717, 0.4697, 5.9823, 5.6100, 0.4600, 0.5720, 1.0320, 0.9200,1,1.51441424826,1.24314277148
 695.0525, 0.0140, 0.0061,-0.0867, 0.0060, 0.0336,-0.0867, 0.9717, 0.4697, 5.9871, 5.6100, 0.5780, 0.3700, 0.7400, 0.9480,1,1.48318327415,1.25711185486
 695.1843, 0.0095, 0.0081,-0.0839, 0.0060, 0.0336,-0.0839, 0.9717, 0.4697, 5.9874, 5.6100, 0.7680, 0.2800, 0.5600, 1.0480,1,1.49163547883,1.28099392836
 695.3099, 0.0050, 0.0096,-0.0789, 0.0060, 0.0336,-0.0789, 0.9717, 0.4697, 5.9924, 5.6100,-0.1212,-0.1212, 0.1212, 0.1212,1,1.48096948261,1.2920903349
 695.4361, 0.0010, 0.0096,-0.0777, 0.0060, 0.0336,-0.0777, 0.9717, 0.4697, 5.9962, 5.6100,-0.2210,-0.2210, 0.2210, 0.2210,1,1.45821069671,1.30057770019
 695.6799,-0.0075, 0.0101,-0.0746, 0.0060, 0.0336,-0.0746, 0.9717, 0.4697, 5.9967, 5.6100,-0.2464,-0.2464, 0.2464, 0.2464,1,1.41707973038,1.33562241167
 695.9467,-0.0115, 0.0091,-0.0746, 0.0060, 0.0336,-0.0746, 0.9717, 0.4697, 5.9967, 5.6100,-0.3086,-0.3086, 0.3086, 0.3086,1,1.38194410102,1.3623311652
 696.0594,-0.0125, 0.0086,-0.0746, 0.0060, 0.0336,-0.0746, 0.9717, 0.4697, 5.9967, 5.6100, 1.1880, 0.4600, 0.2300, 0.9580,1,1.36023239651,1.38430328876
